%BCGmass [x1e12Msun]
%ClusMass [x1e15Msun] 
% si el zspec tiene un signo menos adelante es porque es fotometrico
%zspec    Ks-Mag errK 	BCGm    M200 errM200  Cluster mass proxy  
0.206 	 12.651  0.006 	0.863 	0.87  0.47 	X-ray temperature      
0.466 	 14.491  0.008 	0.878 	0.83  0.20 	X-ray luminosity       
0.466 	 14.685  0.001 	0.734 	0.80  0.20 	X-ray luminosity       
0.171 	 13.40   0.004 	0.344 	0.92  0.23 	X-ray luminosity       
0.355 	 14.405  0.009 	0.487 	1.26  0.17 	Gas mass               
0.439 	 14.618  0.007 	0.698 	2.80  0.44 	Gas mass               
0.165 	 12.385  0.003 	0.877 	0.92  0.23 	X-ray luminosity       
0.196 	 13.481  0.006 	0.401 	0.60  0.15 	X-ray luminosity       
0.494 	 14.977  0.010 	0.625 	0.98  0.24 	X-ray luminosity       
0.183 	 13.136  0.003 	0.44 	1.54  0.22 	Gas mass               
0.279 	 13.877  0.011 	0.486 	0.83  0.20 	X-ray luminosity       
0.279 	 14.178  0.016 	0.369 	0.83  0.20 	X-ray luminosity       
0.451 	 14.449  0.010 	0.817 	3.16  0.44 	Gas mass 	       
0.451 	 14.405  0.009 	0.851 	3.16  0.44 	Gas mass 	       
0.253 	 13.193  0.002 	0.769 	1.12  0.61 	X-ray temperature      
0.224 	 13.178  0.003 	0.65 	0.34  0.19 	X-ray temperature      
0.22 	 13.939  0.005 	0.322 	0.60  0.15 	X-ray luminosity       
0.164 	 13.381  0.004 	0.35 	1.51  0.37 	X-ray luminosity       
0.352 	 14.178  0.009 	0.599 	1.45  0.23 	Gas mass	       
-0.34	 14.414  0.002 	0.481 	0.67  0.15 	SZ parameter 	       
0.622 	 16.086  0.006 	0.339 	0.55  0.12 	SZ parameter 	       
0.333 	 13.772  0.003 	0.742 	0.48  0.31 	X-ray luminosity       
0.408 	 14.925  0.002 	0.407 	0.98  0.52 	X-ray luminosity       
0.385 	 14.264  0.006 	0.647 	1.08  0.57 	X-ray luminosity       
0.234 	 13.203  0.004 	0.635 	1.23  0.47 	X-ray luminosity       
-0.71	 15.785  0.009 	0.541 	0.47  0.13 	SZ parameter 	       
0.313 	 13.842  0.003 	0.694 	0.69  0.09 	Gas mass 	       
-0.625	 16.347  0.220 	0.266 	1.03  0.68 	X-ray luminosity       
-0.69	 16.729  0.003 	0.226 	0.44  0.13 	SZ parameter 	       
0.233 	 13.922  0.004 	0.327 	2.22  0.28 	Gas mass 	       
0.0993 	 12.323  0.001 	0.338 	0.68  0.17 	X-ray luminosity       
0.396 	 14.143  0.008 	0.835 	2.64  0.36 	Gas mass 	       
0.5027 	 14.938  0.011 	0.648 	1.51  0.82 	X-ray temperature      
-0.57    15.713  0.008 	0.414 	0.36  0.14 	SZ parameter 	       
-0.61	 15.701  0.002 	0.451 	0.39  0.14 	SZ parameter 	       
0.623 	 16.128  0.220 	0.282 	1.30  0.88 	X-ray luminosity       
-0.700	 16.466  0.220 	0.239 	1.06  0.68 	X-ray luminosity       
-0.54	 15.862  0.035 	0.333 	0.39  0.13 	SZ parameter 	       
0.52 	 15.523  0.018 	0.417 	0.54  0.13 	SZ parameter 	       
0.302 	 13.549  0.017 	0.775 	1.08  0.27 	X-ray luminosity       
0.648 	 16.029  0.220 	0.357 	1.15  0.72 	X-ray luminosity       
-0.725	 16.413  0.220 	0.266 	1.32  0.85 	X-ray luminosity       
0.273 	 14.237  0.006 	0.349 	0.98  0.24 	X-ray luminosity       
-0.99	 16.269  0.004 	0.623 	0.46  0.14 	SZ parameter 	       
